iter	CrossEntropy
0	0.659441152
1	0.6440957784
2	0.6202701475
3	0.6014323332
4	0.5854230189
5	0.5686186785
6	0.5568900989
7	0.5456463159
8	0.5452266724
9	0.5340272547
10	0.5241629601
11	0.5182309084
12	0.5106281874
13	0.5050956147
14	0.500761526
15	0.4935378581
16	0.4889408315
17	0.4857413952
18	0.4813453567
19	0.4691618492
20	0.463181719
21	0.4496264538
22	0.4361030978
23	0.4265510993
24	0.4239564978
25	0.4191509063
26	0.41064086
27	0.3985738088
28	0.3939398095
29	0.3929337507
30	0.3866065246
31	0.385645378
32	0.3788910473
33	0.3767709439
34	0.3690929864
35	0.3614149492
36	0.3537035463
37	0.3519628709
38	0.3453303871
39	0.3397402638
40	0.3340882712
41	0.3279017905
42	0.3267579237
43	0.323236426
44	0.3153633175
45	0.3113743026
46	0.3079266817
47	0.3038512205
48	0.3009663697
49	0.299318683
50	0.2962525841
51	0.2949133123
52	0.2896912171
53	0.2842715781
54	0.2833967523
55	0.278277878
56	0.2774807258
57	0.2751033904
58	0.2742382382
59	0.273857808
60	0.2693132495
61	0.2663975946
62	0.2616306378
63	0.255138489
64	0.2520032869
65	0.2509744552
66	0.2462155837
67	0.2423964928
68	0.2374218105
69	0.2336761588
70	0.2330853388
71	0.2308449418
72	0.2265980179
73	0.2250145242
74	0.2228513814
75	0.2195166249
76	0.2158278228
77	0.2132019688
78	0.2105917625
79	0.2085520086
80	0.2073862986
81	0.2062284399
82	0.2051579614
83	0.2044110799
84	0.2008597057
85	0.1981259118
86	0.1962429038
87	0.1932554922
88	0.1914234764
89	0.1892402964
90	0.1883796884
91	0.1873009955
92	0.1870716601
93	0.1864175062
94	0.1854577875
95	0.1845976373
96	0.183902913
97	0.1834248808
98	0.1831782157
99	0.1829575927
