iter	Passed	Remaining
0	1537	152261
1	2412	118236
2	3178	102764
3	4186	100476
4	4992	94864
5	5724	89691
6	6394	84958
7	7174	82501
8	7797	78837
9	8354	75194
10	9552	77285
11	10668	78233
12	11432	76511
13	12307	75600
14	12894	73067
15	13447	70598
16	14090	68793
17	14720	67062
18	15396	65638
19	16084	64339
20	16807	63228
21	17372	61592
22	18151	60768
23	18913	59892
24	19695	59087
25	20314	57819
26	21013	56813
27	21672	55730
28	22210	54377
29	22741	53062
30	23346	51963
31	23967	50930
32	24625	49997
33	25247	49010
34	25825	47961
35	26426	46981
36	27082	46113
37	27699	45193
38	28288	44246
39	28951	43426
40	29600	42596
41	30290	41829
42	30831	40869
43	31444	40019
44	32005	39117
45	32635	38311
46	33173	37408
47	33741	36553
48	34278	35677
49	34895	34895
50	35530	34137
51	36149	33369
52	36737	32578
53	37402	31861
54	38022	31109
55	38571	30306
56	39197	29570
57	40544	29359
58	41165	28606
59	42344	28229
60	43806	28007
61	45256	27737
62	46515	27318
63	48194	27109
64	50823	27366
65	55697	28692
66	69623	34292
67	76833	36156
68	78789	35398
69	79932	34256
70	80912	33048
71	82149	31946
72	84116	31111
73	86345	30337
74	88406	29468
75	89097	28135
76	89887	26849
77	90557	25541
78	91418	24301
79	92070	23017
80	92747	21755
81	93637	20554
82	94734	19403
83	95871	18261
84	96718	17067
85	97597	15888
86	98562	14727
87	99527	13571
88	100309	12397
89	101421	11269
90	102278	10115
91	103185	8972
92	103992	7827
93	104783	6688
94	105500	5552
95	106228	4426
96	106952	3307
97	107533	2194
98	108255	1093
99	108897	0
